idrequeteoffre, itineraire{posi[dateauplustôt/dateauplustard/pickup/delivery]},chauffeur{idchauffeur/typepermis}, vehicule{idvehicule/typevehicule/capacitevehicule},placeslibres initiales, placeslibres actuelles, et at
0,bizerte/6/45/7/15/+1/0_tunis/6/45/8/15/0/-1,0/d,0/rouge/8,8,8, initialise
1,bizerte/6/45/7/30/+1/0_rassjbel/7/00/8/15/0/-1,1/d,1/bleu/8,8,8, initialise
2,sousse/6/45/7/15/+1/0_tunis/9/30/10/30/0/-1,3/d,3/rouge/8,8,8, initialise
3,sfax/9/45/10/15/+1/0_tunis/14/15/15/10/0/-1,5/d,5/rouge/8,8,8, initialise
8,nabeu1/6/45/7/15/+1/0_tunis/9/15/10/00/0/-1,4/d,4/rouge/8,8,8, initialise
9,tunis/6/45/7/15/+1/0_bizerte/6/45/8/15/0/-1,6/d,2/rouge/8,8,8, initialise
10,bizerte/6/30/7/30/+1/0_elalia/6/45/7/45/0/0_rassjbel/7/00/8/00/0/-1,2/d,6/bleu/8,8,8, initialise
20,tunis/6/45/7/15/+1/0 sousse/9/30/10/30/0/-1,8/d, 7/rouge/8,8,8, initialise
21,tunis/6/45/7/15/+1/0_nabeul/9/15/10/00/0/-1,9/d,8/rouge/8,8,8, initialise
22,tunis/9/45/10/15/+1/0_sfax/14/15/15/10/0/-1,10/d, 9/rouge/8,8,8, initialise
